metrics,Aggregate,Male,Female
Acc,0.6461916461916462,0.6147540983606558,0.6932515337423313
Sens,0.41711229946524064,0.4274193548387097,0.3968253968253968
Spec,0.8409090909090909,0.8083333333333333,0.88
